check_date,seed_paper_id,direction,source_checked,candidate_title,candidate_authors,candidate_year,doi_or_url,screening_decision,exclusion_reason,retained_paper_id,notes
2026-08-23,UBD-001,backward,Marques 2018 prior-art chain; targeted web verification,"Locomotor repertoire of the larval zebrafish: swimming, turning and prey capture",Budick SA; O'Malley DM,2000,10.1242/jeb.203.17.2565,exclude,no_relevant_validation,,Classical taxonomy background but not a close representation-learning/discovery or validation precedent; cite narratively if needed.
2026-08-23,UBD-001,backward,Marques 2018 prior-art chain; targeted web verification,Prey capture behavior evoked by simple visual stimuli in larval zebrafish,Bianco IH; Kampff AR; Engert F,2011,10.3389/fnsys.2011.00101,exclude,no_relevant_validation,,Behavioral kinematics background but not a close representation-learning/discovery or validation precedent.
2026-08-23,UBD-001,backward,Marques 2018 prior-art chain; targeted web verification,Sensorimotor gating in larval zebrafish,Burgess HA; Granato M,2007,,exclude,outside_scope,,Relevant zebrafish motor-behavior background but not a direct unsupervised/representation-learning or validation precedent.
2026-08-23,UBD-001,backward,Computational-ethology methods cited around Marques/Keypoint-MoSeq lineage,Mapping the stereotyped behaviour of freely moving fruit flies,Berman GJ; Choi DM; Bialek W; Shaevitz JW,2014,10.1098/rsif.2014.0672,duplicate,,METHOD-001,Already present in evidence matrix as foundational unsupervised behavioral mapping precedent.
2026-08-23,UBD-001,backward,Computational-ethology methods cited around Marques/Keypoint-MoSeq lineage,Mapping sub-second structure in mouse behavior,Wiltschko AB et al.,2015,10.1016/j.neuron.2015.11.031,duplicate,,METHOD-002,Strong temporal state-discovery lineage already represented by the matrix's broader unsupervised state-model evidence.
2026-08-23,UBD-001,forward,Targeted citation search / Johnson 2020 full text,Probabilistic Models of Larval Zebrafish Behavior Reveal Structure on Many Scales,Johnson RE et al.,2020,10.1016/j.cub.2019.11.026,duplicate,,UBD-003,Cites Marques; already retained in expanded evidence matrix.
2026-08-23,UBD-001,forward,Targeted citation search / eNeuro full text,Hierarchical Compression Reveals Sub-Second to Day-Long Structure in Larval Zebrafish Behavior,Ghosh M; Rihel J,2020,10.1523/ENEURO.0408-19.2020,duplicate,,UBD-002,Cites Marques; already retained.
2026-08-23,UBD-001,forward,Targeted citation search / Scientific Reports and related literature,Zebrafish behavior feature recognition using three-dimensional tracking and machine learning,Yang P; Takahashi H; Murase M; Itoh M,2021,10.1038/s41598-021-92854-0,duplicate,,ZF-002,Direct zebrafish ML/unsupervised trajectory prior art already retained.
2026-08-23,UBD-001,forward,Nature Methods reference list,Keypoint-MoSeq: parsing behavior by linking point tracking to pose dynamics,Weinreb C et al.,2024,10.1038/s41592-024-02318-2,duplicate,,METHOD-004,Later unsupervised pose-state method citing Marques; already retained.
2026-08-23,UBD-001,forward,Nature Communications targeted citation search,A hierarchical 3D-motion learning framework for animal spontaneous behavior mapping,Huang K; Han Y; Chen K; Pan H; Zhao G; Yi W; Li X; Liu S; Wei P; Wang L,2021,10.1038/s41467-021-22970-y,exclude,outside_scope,,Relevant general behavior mapping but not needed to establish the bounded zebrafish SSL novelty gap.
2026-08-23,UBD-001,forward,BMC Biology targeted citation search,Thermal modulation of Zebrafish exploratory statistics reveals constraints on individual behavioral variability,Le Goc G; Lafaye J; Karpenko S; Bormuth V; Candelier R; Debrégeas G,2021,10.1186/s12915-021-01126-w,exclude,no_relevant_validation,,Useful individual-variability context but not a direct representation-learning or discovery precedent.
2026-08-23,UBD-002,backward,Ghosh & Rihel 2020 full text reference chain,Structure of the Zebrafish Locomotor Repertoire Revealed with Unsupervised Behavioral Clustering,Marques JC; Lackner S; Félix R; Orger MB,2018,10.1016/j.cub.2017.12.002,duplicate,,UBD-001,Explicitly cited as larval zebrafish unsupervised repertoire precedent.
2026-08-23,UBD-002,backward,Ghosh & Rihel 2020 full text reference chain,Hierarchical compression of Caenorhabditis elegans locomotion reveals phenotypic differences in the organization of behaviour,Gomez-Marin A; Stephens GJ; Brown AEX,2016,10.1098/rsif.2016.0466,exclude,wrong_organism,,Method lineage is adequately summarized by the directly relevant Ghosh & Rihel seed.
2026-08-23,UBD-002,backward,Ghosh & Rihel 2020 full text reference chain,Predictability and hierarchy in Drosophila behavior,Berman GJ; Bialek W; Shaevitz JW,2016,10.1073/pnas.1607601113,exclude,wrong_organism,,General hierarchy precedent but not required in the bounded zebrafish evidence matrix.
2026-08-23,UBD-002,backward,Ghosh & Rihel 2020 methods context,Systematic exploration of unsupervised methods for mapping behavior,Todd JG; Kain JS; de Bivort BL,2017,10.1088/1478-3975/14/1/015002,include,,CITE-008,Relevant comparison of unsupervised behavior-mapping methods.
2026-08-23,UBD-002,forward,PMC article reference list,Social behavioral profiling by unsupervised deep learning reveals a stimulative effect of dopamine D3 agonists on zebrafish sociality,Geng Y; Yates C; Peterson RT,2023,10.1016/j.crmeth.2022.100381,include,,CITE-009,Direct later zebrafish unsupervised deep-learning behavioral profiling; cites Ghosh & Rihel.
2026-08-23,UBD-002,forward,ScienceDirect article record,Tensor analysis of animal behavior by matricization and feature selection,Wang B; Cai J; Fang L; Tsujikawa M; Ma P; Leung YF,2025,10.1016/j.compbiomed.2025.110959,exclude,not_unsupervised,,Uses supervised classification/feature selection rather than matched unsupervised behavior discovery.
2026-08-23,ZF-002,backward,Scientific Reports full reference list,Video multitracking of fish behaviour: a synthesis and future perspectives,Delcourt J; Denoël M; Ylieff M; Poncin P,2013,10.1111/j.1467-2979.2012.00462.x,exclude,review_only,,Useful tracking background but not primary empirical novelty evidence.
2026-08-23,ZF-002,backward,Scientific Reports full reference list,Zebrafish behavior: opportunities and challenges,Orger MB; de Polavieja GG,2017,10.1146/annurev-neuro-071714-033857,exclude,review_only,,Canonical context review; retain in bibliography if cited narratively but not the evidence matrix.
2026-08-23,ZF-002,backward,Yang-related zebrafish ML prior-art chain,Structure of the Zebrafish Locomotor Repertoire Revealed with Unsupervised Behavioral Clustering,Marques JC; Lackner S; Félix R; Orger MB,2018,10.1016/j.cub.2017.12.002,duplicate,,UBD-001,Closest zebrafish unsupervised repertoire prior art already retained.
2026-08-23,ZF-002,forward,Scientific Reports 'similar content' / targeted citation search,A dataset of fine-grained zebrafish interactions in health and disease,Deligkaris K et al.,2026,10.1038/s41597-026-06953-6,duplicate,,DATA-001,Later fine-grained zebrafish tracking/QC resource already retained.
2026-08-23,ZF-002,forward,Communications Biology article record,Automated detection of complex zebrafish seizure behavior at scale,Whyte-Fagundes P; Efromson J; Vance A; Carpenter S; Bègue A; Carroll A; Doman TJJ; Harfouche M; Baraban SC,2025,10.1038/s42003-025-08310-6,include,,CITE-013,"Later scalable zebrafish behavior-analysis work; relevant to automated behavioral quantification, not SSL."
2026-08-23,SSL-001,backward,ContrastivePose reference list / OUCI indexed references,Automated home-cage behavioural phenotyping of mice,Jhuang H et al.,2010,10.1038/ncomms1064,exclude,outside_scope,,Behavior classification background; not a close SSL/unsupervised discovery or zebrafish precedent.
2026-08-23,SSL-001,backward,ContrastivePose method lineage,Deep Representation Learning for Human Motion Prediction and Classification,Bütepage J; Black MJ; Kragic D; Kjellström H,2017,10.1109/CVPR.2017.173,exclude,wrong_organism,"","Human-motion method lineage rather than animal-behavior novelty evidence."
2026-08-23,SSL-001,backward,ContrastivePose conceptual SSL lineage,A Simple Framework for Contrastive Learning of Visual Representations,Chen T; Kornblith S; Norouzi M; Hinton G,2020,10.48550/arXiv.2002.05709,exclude,not_behavioral,,Core contrastive-learning method background but not animal-behavior evidence; retain in methods bibliography only if needed.
2026-08-23,SSL-001,forward,Ecological Informatics article record,Beyond observation: Deep learning for animal behavior and ecological conservation,Saoud LS; Sultan A; Elmezain M; Heshmat M; Seneviratne L; Hussain I,2024,10.1016/j.ecoinf.2024.102893,exclude,review_only,,Review citing ContrastivePose; useful background but not primary empirical evidence for the novelty matrix.
2026-08-23,SSL-001,forward,Targeted methods comparison search,Evaluation of unsupervised learning algorithms for the classification of behavior from pose estimation data,Mlost J et al.,2025,10.1016/j.patter.2025.101237,duplicate,,REVIEW-001,Already retained as comparative unsupervised-method evidence.
