paper_id,category,authors,year,title,venue,doi,source_url,species,developmental_stage,input_modality,temporal_behavior,tracking_pose,ml_method,ssl,ssl_objective,unsupervised_behavioral_discovery,handcrafted_comparison,held_out_animals,identity_control,session_control,speed_control,tracking_qc,segmentation_scale,peer_reviewed,primary_relevance,novelty_consequence,evidence_status,notes
ZF-001,zebrafish_behavior,Barreiros et al.,2021,Zebrafish automatic monitoring system for conditioning and behavioral analysis,Scientific Reports,10.1038/s41598-021-87502-6,https://doi.org/10.1038/s41598-021-87502-6,Danio rerio,adult,video -> tracking,yes,tracking,YOLOv2 detection + tracking/behavioral measurement,no,,no/limited,conventional metrics,not established in project review,not primary,not primary,speed is a measured feature,tracking system evaluated; full project-style artifact battery not identified,trial/recording based,yes,conventional baseline; automated behavioral analysis,Automated tracking and computational zebrafish behavioral measurement are established prior art.,deep-read/project synthesis,"Supports speed, distance, direction, movement/immobility and social polarization as conventional features."
ZF-002,zebrafish_ml,Yang et al.,2021,Zebrafish behavior feature recognition using three-dimensional tracking and machine learning,Scientific Reports,10.1038/s41598-021-92854-0,https://doi.org/10.1038/s41598-021-92854-0,Danio rerio,adult,3D trajectories,yes,3D tracking,PCA + FuzzyART unsupervised clustering,no,,yes/relevant,feature-based representation,NR,NR,NR,NR,YES,approximately 1-10 s temporal segments,yes,zebrafish unsupervised ML prior art; temporal-scale precedent,Cannot claim ML or unsupervised behavioral feature recognition is new in zebrafish.,deep-read/project synthesis; control fields verified 2026-08-23,"Direct precedent for PCA followed by unsupervised clustering of 3D trajectory features. Control extraction verified 2026-08-23: no fish-level held-out split, fish-identity probe, session-leakage test, or speed-matched control was reported in the study methods. Tracking QC was explicit: EthoVision tracks were smoothed, checked for missing samples/reflection clusters/rogue points, and missing values were interpolated before analysis."
POSE-001,tracking_pose,Scholz et al.,2025,Plug-and-Play automated behavioral tracking of zebrafish larvae with DeepLabCut and SLEAP: pre-trained networks and datasets of annotated poses,bioRxiv,10.1101/2025.06.04.657938,https://doi.org/10.1101/2025.06.04.657938,Danio rerio,larval,video -> 15-keypoint pose,yes,15-keypoint pose; DeepLabCut/SLEAP,pose estimation,no,,no,tracking/pose benchmark,not established in project review,not primary,not primary,not primary,pose/tracking resource with pretrained models,frame/sequence based,no; preprint,pose resource; baseline feature support,Detailed zebrafish pose estimation is established and can support a strong non-SSL baseline.,deep-read/project synthesis,"Supports heading, tail curvature, tail velocity, acceleration, turn angle and related pose-derived features."
DATA-001,dataset,Deligkaris et al.,2026,A dataset of fine-grained zebrafish interactions in health and disease,Scientific Data,10.1038/s41597-026-06953-6,https://doi.org/10.1038/s41597-026-06953-6,Danio rerio,adult,3D identified tracks; 3 anatomical landmarks,yes,3D landmarks + identity tracking,tracking workflow/dataset,no primary SSL,,dataset enables it,not primary aim,dataset structure permits identity-aware validation,identity information available; swaps noted as possible artifact,experiment metadata available,not primary,residual identity swaps/landmark errors explicitly noted,long continuous dyadic recordings (~5 h),yes,large-scale tracking dataset; artifact/identity-control precedent,Shows rich temporal zebrafish data exist but adds dyadic identity/social confounds.,deep-read/project synthesis,173 experiments at 140 Hz; useful future social extension/validation dataset.
SSL-001,animal_ssl,Zhou et al.,2023,ContrastivePose: A contrastive learning approach for self-supervised feature engineering for pose estimation and behavioral classification of interacting animals,Computers in Biology and Medicine,10.1016/j.compbiomed.2023.107416,https://doi.org/10.1016/j.compbiomed.2023.107416,other animals,,pose,yes,pose,contrastive representation learning,yes,contrastive learning,no primary discovery,yes,NR,NR,NR,NR,NR,pose sequences,yes,self-supervised pose representation precedent; handcrafted-feature comparison,Cannot claim that SSL-vs-handcrafted comparison in animal behavior is itself novel.,deep-read/project synthesis; control fields verified 2026-08-23,"Closest conceptual precedent for learning features from pose rather than manually engineering them. Control extraction verified 2026-08-23: ContrastivePose reports downstream supervised classification on pose datasets, but the paper does not report a project-style held-out-subject split, explicit subject-identity leakage probe, session-leakage control, speed-matched analysis, or tracking-artifact QC analysis."
SSL-002,zebrafish_ssl,Xu & Wang,2024,Technical Report: Masked Skeleton Sequence Modeling for Learning Larval Zebrafish Behavior Latent Embeddings,arXiv,arXiv:2403.15693,https://arxiv.org/abs/2403.15693,Danio rerio,larval,skeleton/pose sequences,yes,skeleton sequence,Sequence Spatial-Temporal Transformer (SSTFormer),yes,masked spatiotemporal reconstruction/modeling,not established as primary contribution,strong matched comparison not identified,NR,NR,NR,NR,NR,high-frame-rate skeleton sequences divided into temporal slices,no; technical report/arXiv,direct zebrafish SSL; pose-sequence SSL; masked-modeling candidate,Direct zebrafish SSL already exists; project novelty must come from matched comparison and validity controls.,targeted deep read/project synthesis; control fields verified 2026-08-23,"Strongest direct novelty-boundary paper for the current study. Control extraction verified 2026-08-23: the technical report shows reconstruction on a validation set but does not specify that validation fish are held out by animal. It does not report fish-identity, session, speed, or tracking-artifact nuisance controls. The report notes that masked reconstruction may recover failed pose coordinates, but this is not an explicit tracking-QC confound test."
SSL-003,animal_video_ssl,Wang et al.,2026,Animal behavioral analysis and neural encoding with transformer-based self-supervised pretraining,ICLR 2026,arXiv:2507.09513,https://arxiv.org/abs/2507.09513,multi-species,,behavioral video,yes,video representation; downstream pose/action tasks,transformer-based self-supervised pretraining (BEAST),yes,masked autoencoding + temporal contrastive learning,downstream behavioral analysis; not a direct match to proposed discovery comparison,multiple baselines reported in project synthesis,YES,NR,YES,NR,YES,behavioral video clips,yes; ICLR 2026,modern behavioral video SSL; objective candidate; novelty boundary,Animal behavioral video SSL with masked and temporal-contrastive objectives is established.,deep-read/project synthesis; control fields verified 2026-08-23,"Useful method precedent if a future direct-video extension is pursued. Control extraction verified 2026-08-23: BEAST explicitly evaluates held-out animals for action segmentation (18 train animals, 5 test animals) and uses entirely held-out videos for pose-estimation test frames. It does not report an explicit animal-identity prediction probe or speed-matched/speed-dependence control. Pose evaluation includes held-out-video keypoint error, inspection of erroneous jumps, keypoint difficulty analyses, and correction of identified labeling errors. These count as tracking/pose QC, but are not identical to the present project's cluster-artifact nuisance test."
UBD-001,zebrafish_unsupervised_discovery,Marques et al.,2018,Structure of the Zebrafish Locomotor Repertoire Revealed with Unsupervised Behavioral Clustering,Current Biology,10.1016/j.cub.2017.12.002,https://doi.org/10.1016/j.cub.2017.12.002,Danio rerio,larval,bout kinematics/tail movement,yes,bout/tail kinematics,clusterdv unsupervised clustering,no,,yes,kinematic feature space,NR,NR,NR,NR,NR,naturally segmented swim bouts,yes,direct zebrafish unsupervised repertoire discovery; bout-level precedent,Cannot claim unsupervised behavioral repertoire discovery has not been done in zebrafish.,project synthesis; control fields verified 2026-08-23,"Reported 13 basic swim types and hierarchical structure across tail movements and bout sequences. Exact canonical citation should be synced from papers.bib when added. Control extraction verified 2026-08-23: Marques et al. pool millions of naturally segmented bouts across fish/contexts for unsupervised clustering. The paper does not report a project-style held-out-fish evaluation, fish-identity leakage probe, session-leakage test, explicit speed-matched control, or a dedicated tracking-artifact enrichment/QC analysis in the discovery pipeline. Bibliographic fields synchronized to canonical Marques et al. (2018) citation."
UBD-002,zebrafish_unsupervised_discovery,Ghosh & Rihel,2020,Hierarchical Compression Reveals Sub-Second to Day-Long Structure in Larval Zebrafish Behavior,eNeuro 7(4),10.1523/ENEURO.0408-19.2020,https://doi.org/10.1523/ENEURO.0408-19.2020,Danio rerio,larval,movement/inactivity bouts from behavioral imaging,yes,activity/bout representation,bout clustering + hierarchical sequence compression,no,,yes,six active-bout features,NR,NR,NR,NR,YES,sub-second bouts through long motifs/day-scale organization,yes,bout-level unsupervised modules; temporal hierarchy; baseline-feature precedent,Establishes multi-timescale bout/motif organization in larval zebrafish.,deep-read/project synthesis; control fields verified 2026-08-23,"Active bouts described with bout length, mean, SD, total, min and max activity. Control extraction verified 2026-08-23: Ghosh & Rihel analyze repeated day/night and experimental conditions but do not report a held-out-animal split, identity-leakage probe, session-leakage classifier/control, or explicit speed-matching analysis. Tracking/data QC was explicit: ViewPoint acquisition/order errors were discarded, implausible movement values were thresholded using manual/no-animal controls, water-refill periods were excluded, and bubble/sick/dead-larva exclusions were documented."
SSL-004,zebrafish_adjacent_ssl,McKenzie-Smith et al.,2024,Parallel development of social behavior in biological and artificial fish,Nature Communications,,,biological zebrafish + artificial fish model,,agent observations / temporal states,yes,not the direct empirical pose-SSL setting,self-supervised temporal contrastive intrinsic-motivation method in artificial fish,yes; zebrafish-adjacent,temporally adjacent positives; temporally distant negatives,no direct empirical zebrafish pose-discovery match,not primary,not applicable to proposed-style empirical validation,not primary,not primary,not primary,not primary,temporal observations,yes,temporal contrastive objective precedent,Temporal contrastive learning has zebrafish-adjacent precedent but no direct matched empirical discovery study was identified.,targeted project synthesis,Useful for selecting a simple temporal contrastive objective if chosen for Input B.
